date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:04	5391/5391	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202022%2020:57:28%20GMT	https://www.the303.org/tutorials/index.html	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/index.html	(from )
01:03:05	66/66	U-----	200	untouched ('OK')	text/plain	date:Wed,%2003%20Apr%202019%2018:27:34%20GMT	https://www.the303.org/robots.txt		(from )
01:03:05	12356/12356	U-----	200	untouched ('OK')	text/html	date:Tue,%2006%20Sep%202022%2005:34:13%20GMT	https://www.the303.org/goldsrc/index.html	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/goldsrc/index.html	(from )
01:03:05	1486/1486	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Jul%202023%2006:45:47%20GMT	https://www.the303.org/tutorials/303style.css	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/303style.css	(from https://www.the303.org/tutorials/index.html)
01:03:06	86366/86366	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Dec%202018%2007:42:36%20GMT	https://www.the303.org/tutorials/gold_tut_header.png	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_tut_header.png	(from https://www.the303.org/tutorials/index.html)
01:03:06	3087/3087	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2002:02:25%20GMT	https://www.the303.org/tutorials/goldsrcspraylogo.html	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/goldsrcspraylogo.html	(from https://www.the303.org/tutorials/index.html)
01:03:06	5042/5042	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2004:43:51%20GMT	https://www.the303.org/tutorials/gold_texture.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_texture.html	(from https://www.the303.org/tutorials/index.html)
01:03:06	7153/7153	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2004:18:47%20GMT	https://www.the303.org/tutorials/gold_sprite.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_sprite.html	(from https://www.the303.org/tutorials/index.html)
01:03:07	1131/1131	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Apr%202018%2007:31:48%20GMT	https://www.the303.org/goldsrc/gmdlflowchart.html	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/goldsrc/gmdlflowchart.html	(from https://www.the303.org/tutorials/index.html)
01:03:07	3537/3537	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2007:08:53%20GMT	https://www.the303.org/tutorials/gold_mdl_phys.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_mdl_phys.html	(from https://www.the303.org/tutorials/index.html)
01:03:07	8948/8948	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Apr%202016%2006:36:04%20GMT	https://www.the303.org/tutorials/gold_research.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_research.html	(from https://www.the303.org/tutorials/index.html)
01:03:07	8458/8458	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202019%2004:43:54%20GMT	https://www.the303.org/tutorials/gold_mdl_tex_links.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_mdl_tex_links.html	(from https://www.the303.org/tutorials/index.html)
01:03:08	2233/2233	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2008:03:05%20GMT	https://www.the303.org/tutorials/gold_mdl_aniremap.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_mdl_aniremap.html	(from https://www.the303.org/tutorials/index.html)
01:03:08	11542/11542	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202022%2021:05:08%20GMT	https://www.the303.org/tutorials/gold_mdl_dynpc.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_mdl_dynpc.html	(from https://www.the303.org/tutorials/index.html)
01:03:08	19631/19631	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2022:51:01%20GMT	https://www.the303.org/tutorials/gold_mdl.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_mdl.html	(from https://www.the303.org/tutorials/index.html)
01:03:08	107414/107414	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20May%202022%2020:57:43%20GMT	https://www.the303.org/tutorials/gold_qc.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_qc.html	(from https://www.the303.org/tutorials/index.html)
01:03:09	21079/21079	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2005:38:31%20GMT	https://www.the303.org/tutorials/gold_mdl_fix.htm	D:/GIT%20Storage/The-Specialists-Archive/tutorials/The303%20GoldSRC%20Tutorials/www.the303.org/tutorials/gold_mdl_fix.html	(from https://www.the303.org/tutorials/index.html)
